"year";"ccode";"cname";"ccodealp";"bicc_milexp";"bs_ee";"bs_h";"bti_aar";"bti_ci";"bti_cr";"bti_eo";"bti_foe";"bti_pdi";"bti_pp";"bti_su";"bti_wr";"ciri_assn";"ciri_dommov";"ciri_formov";"epi_access";"epi_eh";"eu_demmlifexpt";"eu_heamdochthab";"eu_heamdocnr";"eu_heamdocp";"ffp_fsi";"ffp_hf";"ffp_ps";"ffp_ref";"fh_pr";"gsd_fr";"hf_govint";"lis_gini";"oecd_doctor_g3";"oecd_evogdp_t1";"sgi_enen";"sgi_so";"sgi_soed";"sgi_sofa";"sgi_sogi";"sgi_sohe";"sgi_soin";"sgi_sope";"sgi_sosi";"sgi_sosl";"wdi_expedu";"wdi_expeduge";"wdi_expedup";"wdi_expedus";"wdi_exph";"wdi_idpvc";"wdi_idpvp";"wdi_refasy";"wdi_refori";"wdi_spr";"wef_ias";"wel_coc";"wvs_hap";"Applied"
2011;8;"Albania";"ALB";5.14;NA;NA;9;2;8;6;7;6;7.5;5;6;2;2;1;100;74.97;NA;NA;NA;NA;66.1;6.8;4.9;2.8;3;0.68981997428204;32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.71466526;NA;NA;82;13551;NA;4.42181357439024;0.370618762;NA;0
2015;8;"Albania";"ALB";4.95;NA;NA;8;3;8;6;7;6;7.25;5;6.5;NA;NA;NA;100;81.03;77.9;NA;NA;NA;61.2;7.6;4.2;3.3;3;0.717788255465067;31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;104;10408;NA;4.78192715544801;NA;NA;71
2011;40;"Austria";"AUT";4.57;6.18302477484806;7.48219351689626;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;100;83.96;81.1;NA;NA;NA;27.5;1.9;1.8;2.3;1;0.903343334762109;79;NA;16.8400001525879;2.80799984931946;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.61269998550415;11.0585603713989;17.0949802398682;45.3619499206543;10.93557307;NA;NA;47073;11;NA;5.92559897460317;0.788964727;NA;422
2015;40;"Austria";"AUT";4.49;6.16319544622381;7.36460980764132;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;84.51;81.3;NA;NA;NA;27.5;1.2;1.3;6.1;1;NA;69;NA;NA;0.963058412075043;6.13290911039581;6.28477695093676;5.95227737607172;6.31895721788757;4.72455089820359;6.57858774994556;6.34771349684135;5.71096942169749;6.83535605218626;7.80980339466053;NA;NA;NA;NA;NA;NA;NA;72216;4;NA;5.29272482256557;NA;NA;24547
2011;56;"Belgium";"BEL";4.75;6.0000663326626;7.96649090380038;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;100;73.55;80.7;NA;NA;NA;33.5;1.9;2.5;1.9;1;0.950278611230176;71;NA;10.1800003051758;1.79663002490997;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.38052988052368;11.7225999832153;23.3382205963135;42.7980308532715;10.42349563;NA;NA;22402;90;NA;5.89482937777778;0.811939546;NA;662
2015;56;"Belgium";"BEL";4.68;6.27254977980481;7.67795843175162;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;75.58;81.1;NA;NA;NA;29;1.6;1.8;2.1;1;0.909987141020146;75;NA;12.0699996948242;1.50023078918457;5.54033957685748;6.23287201187142;6.16598015530602;7.69486866775665;4.76347305389222;6.63221273315147;5.81729388947228;6.21648305652771;6.29733582173669;6.27532871712829;NA;NA;NA;NA;NA;NA;NA;35314;65;NA;5.61567017163417;NA;NA;10438
2011;70;"Bosnia and Herzegovina";"BIH";4.81;NA;NA;8;5;7;5;6;6;7.5;5.5;5.5;1;2;0;98.68;84.59;NA;NA;NA;NA;77.9;5.8;4.7;6.5;4;0.646313759108444;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.71201831;NA;113000;6933;58578;3.5;3.829551;0.438886615;NA;0
2015;70;"Bosnia and Herzegovina";"BIH";4.75;NA;NA;8;5;7;5;6;5;7;5;6;NA;NA;NA;100;84.81;NA;NA;NA;NA;74.6;5.2;3.8;7.8;4;0.642048864123446;42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;98300;6798;18769;NA;3.94230771064758;NA;NA;5
2011;100;"Bulgaria";"BGR";5.07;NA;NA;10;3;9;7;8;8;9;7;7;1;2;2;100;79.29;74.2;"439.16";"32271";"227.71";56.3;5.2;4.3;3.3;2;0.733561937419631;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.56303000450134;11.1000499725342;18.5004806518555;41.4084091186523;6.88297734;NA;NA;5688;2327;NA;4.78584347219917;0.455066475;NA;85
2015;100;"Bulgaria";"BGR";4.97;5.55667242082881;4.39906179348301;10;4;8;8;7;7;8.5;6.5;7.5;NA;NA;NA;100;83.49;74.7;"435.64";"31270";"229.55";53.7;4.3;3.9;4;2;0.749699957136734;41;NA;NA;NA;5.81421733629518;4.34424281407901;4.52435804348726;5.15501493345546;2.48502994011976;4.62296710942713;4.45127482203055;4.48573503833846;3.77879395264074;5.25076867313269;NA;NA;NA;NA;NA;NA;NA;16557;1269;NA;4.74145682652791;NA;NA;5983
2011;112;"Belarus";"BLR";5.06;NA;NA;3;3;2;5;3;2;2.5;5.5;5.5;0;1;1;100;84.38;70.7;NA;NA;NA;76.6;4.2;5.5;3.3;7;0.516695242177454;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.84639978408813;14.0311603546143;NA;NA;4.92365904;NA;NA;595;5925;NA;NA;0.355118942;2.7505157;0
2015;112;"Belarus";"BLR";5.05;NA;NA;3;3;3;6;3;2;2.5;5.5;6;NA;NA;NA;100;86.48;74;NA;NA;NA;73.9;3.1;4.4;3.8;7;0.541798114016288;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.94764995574951;11.1952104568481;NA;NA;NA;NA;NA;1809;4125;NA;NA;NA;NA;106
2011;191;"Croatia";"HRV";5.16;NA;NA;10;3;8;8;7;8;8.75;8;8;1;2;2;100;84.49;77.2;NA;NA;NA;56.3;4.7;3.2;5.2;1;0.717102443206172;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.15279006958008;8.51578998565674;NA;NA;7.79909419;NA;2059;824;62649;NA;4.84275625;0.501889893;NA;10
2015;191;"Croatia";"HRV";5.07;7.2014794238552;5.70385746074902;10;2;8;8;7;8;8.75;7.5;7.5;NA;NA;NA;100;83.87;77.5;NA;NA;NA;52.4;4.2;2.6;7.5;1;0.671153021860266;48;NA;NA;NA;5.66117523042549;5.187479981072;6.01385858084894;4.41711606629805;2.98502994011976;5.1500836963981;6.21690467754993;4.13314767366057;4.10361597202479;8.48008324167583;NA;NA;NA;NA;NA;NA;NA;522;33451;NA;4.61825278305713;NA;NA;24
2011;203;"Czech Republic";"CZE";4.86;6.97835790737155;7.2525629645566;10;1;10;9;10;10;10;9;9.5;1;2;2;100;80.32;78;NA;NA;NA;39.5;3.7;3.6;2.5;1;0.818474067723961;49;NA;13.9099998474121;2.00470399856567;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.27612018585205;9.92718029022217;16.0890502929688;42.8135414123535;7.50106056;NA;NA;2449;763;NA;5.84868991948052;0.559382038;NA;23
2015;203;"Czech Republic";"CZE";4.78;6.72995228720795;7.36962977446959;10;1;10;9;9;9;9.75;8.5;9.5;NA;NA;NA;100;78.83;78.7;NA;NA;NA;40.8;2.5;2.8;4;1;0.811401628804115;48;NA;NA;4.53562879562378;5.72394435929221;6.2021088246453;5.96975711892524;5.54562103833766;4.64670658682635;6.72191527797224;6.32800898993034;7.2971909885043;6.23658270545541;6.87108789121088;NA;NA;NA;NA;NA;NA;NA;3644;1285;NA;5.38423626977344;NA;NA;134
2011;208;"Denmark";"DNK";4.9;6.92947859510403;7.4715755541816;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;100;93.17;79.9;"387.75";"21600";"257.9";23;2.2;1.7;1.9;1;0.995285040720103;93;NA;21.1599998474121;1.33677470684051;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.5629997253418;15.0362596511841;21.6002292633057;32.1022796630859;10.86554541;NA;NA;13399;9;NA;6.23317125735294;0.990463373;NA;428
2015;208;"Denmark";"DNK";4.8;7.22557732606871;7.47250462130807;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;93.81;80.8;NA;NA;NA;21.5;1.6;1.1;1.8;1;0.935062151735962;91;NA;NA;1.60608613491058;7.79857664277959;7.66627540674194;6.50971555043942;8.61252128650836;9.5;7.34064578756486;6.30953180674123;7.82329104018761;7.5740607012022;7.66043708129187;NA;NA;NA;NA;NA;NA;NA;27326;9;NA;5.92824740915255;NA;NA;8723
2011;233;"Estonia";"EST";5.21;NA;NA;10;3;10;9;10;10;9.75;8.5;9;2;2;2;100;94.19;76.6;NA;NA;NA;47.5;4.2;3;3.6;1;0.879768538362623;66;NA;9.42000007629395;7.5973072052002;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.01738023757935;13.4126501083374;24.4453296661377;36.4303398132324;5.8320426;NA;NA;50;224;NA;6.43380780833333;0.685872452;2.8879075;0
2015;233;"Estonia";"EST";5.31;7.37900277157372;5.5054568432395;10;3;10;9;10;10;10;9;9;NA;NA;NA;100;95.35;78;NA;NA;NA;43.4;3.7;3.1;2.6;1;0.874196313759108;68;NA;NA;1.44421315193176;7.29919206275199;6.67541634473606;8.0835211131456;7.39510636186891;5.80838323353293;6.51712869292268;7.41092221828541;6.45447473551008;5.39280350171297;6.34099090090991;NA;NA;NA;NA;NA;NA;NA;168;318;NA;6.10153029867485;NA;NA;9
2011;246;"Finland";"FIN";4.96;7.20553211596425;6.76505534787345;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;100;97.05;80.6;"326.43";"17589";"306.34";20;2.6;1.8;1.9;1;0.956279468495499;89;NA;11.5299997329712;2.57081770896912;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.47770023345947;11.9188804626465;20.0111503601074;42.015251159668;9.01149493;NA;NA;9175;7;NA;6.36008404117647;0.943722894;NA;109
2015;246;"Finland";"FIN";4.92;7.85517076497045;6.86170503501723;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;97.44;81.6;"333.2";"18258";"300.12";18.8;2;1;2.5;1;0.886198028289756;89;NA;NA;0.210290282964706;7.01235673322072;7.5456391198636;7.94116000940872;7.95999917201159;7.01796407185629;7.78217591474217;6.60283692237513;7.54391719297862;7.61551545495833;7.90154422057794;NA;NA;NA;NA;NA;NA;NA;12703;8;NA;5.96279462949194;NA;NA;837
2011;250;"France (1963-)";"FRA";5.22;5.44009263692789;7.4415949489697;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;1;100;87.41;82.3;"330.77";"215531";"302.33";33.6;1.8;1.8;2.5;1;0.929061294470639;69;NA;8.67000007629395;2.07922911643982;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.51392984390259;9.86394023895264;20.7225494384766;44.3830184936523;11.33488998;NA;NA;210207;99;NA;4.602303107173;0.80439855;NA;119
2015;250;"France (1963-)";"FRA";5.23;5.82703226040589;7.03595798407162;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;89.47;82.4;"333.82";"222406";"299.56";34.5;1.9;1.3;2.7;1;0.921560222888984;71;NA;NA;1.27418029308319;6.05886856094855;6.4016454681673;5.74266915356421;8.73452198439505;5.9940119760479;6.76722636448678;6.14368129977343;5.90637843675328;6.44337266050475;5.48130186981302;NA;NA;NA;NA;NA;NA;NA;273126;94;NA;4.88247331485414;NA;NA;5425
2011;276;"Germany";"DEU";4.88;6.15184243383009;7.08604287898628;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;2;100;82.54;80.6;"416.32";"340544";"240.2";31.7;2.5;1.8;3.9;1;0.983711958851265;80;NA;11.6999998092651;3.66000008583069;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.8133602142334;10.7533102035522;13.2110395431519;44.5540084838867;10.93273699;NA;NA;571684;174;NA;4.85798376564417;NA;NA;3436
2015;276;"Germany";"DEU";4.82;6.42553406940488;7.1019920371062;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;81.57;80.7;"452.52";"369648";"220.98";28.6;1.8;1.3;5.7;1;0.926275182168881;78;NA;NA;1.72073352336884;7.06360504685563;6.73780683648883;7.10191594737148;7.09958581477977;6.80239520958084;7.10388187781404;6.64985821958263;5.21768102844535;6.73792114088189;7.18921545345466;NA;NA;NA;NA;NA;NA;NA;316115;161;NA;4.95604358065513;NA;NA;162510
2011;300;"Greece";"GRC";5.32;4.21181864803493;6.13371757386699;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;2;100;83.54;80.8;NA;NA;NA;50.4;4.7;4.2;2.3;2;0.798971281611659;38;NA;9.86999988555908;-9.13249492645264;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.77188991;NA;NA;1573;56;NA;3.87055299659091;0.463146308;NA;352
2015;300;"Greece";"GRC";5.38;5.05978070937739;4.41288929966276;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;86.91;81.1;NA;NA;NA;55.9;3.5;4;5;2;0.827475353621946;40;NA;NA;-0.219146192073822;4.83089670740263;4.81295071158103;4.34779087782526;4.49277940513616;3.75449101796407;4.68288673131934;6.58016137127404;4.25653660618284;3.50578550036479;6.88317418258174;NA;NA;NA;NA;NA;NA;NA;24838;112;NA;3.93268530382747;NA;NA;3497
2011;348;"Hungary";"HUN";4.83;5.8833808004999;5.2433548154577;9;3;8;8;8;7;9;8;8.5;1;2;2;100;74.85;75.1;NA;NA;NA;48.3;4.2;3.4;2.8;1;0.71309472781826;51;NA;11.5100002288818;1.7394232749939;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.61790990829468;9.30432033538818;16.1495094299316;39.3475799560547;7.84003067;NA;NA;5106;1238;NA;5.44862236870229;0.563891283;NA;91
2015;348;"Hungary";"HUN";4.77;5.39063580034181;5.26946576785269;7;3;8;8;6;7;7.5;7;8;NA;NA;NA;100;77.36;75.7;NA;NA;NA;52.7;3;3.4;6.7;2;0.700600085726532;54;NA;NA;3.14808368682861;5.70275266266255;4.67580037199684;4.24120962592836;4.61247898605547;2.70059880239521;4.80145443675229;5.6566789764727;5.10076591862113;4.46348670270223;5.8297295270473;NA;NA;NA;NA;NA;NA;NA;4393;1443;NA;4.85460601963409;NA;NA;64587
2011;352;"Iceland";"ISL";3.49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;100;99.01;82.4;"350.46";"1118";"285.34";29.1;3.1;1.9;1.3;1;NA;87;NA;13.789999961853;1.98713076114654;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7.0496301651001;15.4171199798584;33.6693496704102;31.7480201721191;8.65326311;NA;NA;58;3;NA;6.57301585693431;0.889204533;NA;3
2015;352;"Iceland";"ISL";3.44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;98.67;82.5;"377.55";"1249";"264.86";22.8;2.5;1.4;1.7;1;NA;78;NA;NA;4.17001914978027;5.79533609483877;7.13015544173222;6.50501074921632;8.44777675172365;4.7934131736527;6.57134722409657;7.25894842472329;7.64324405939867;7.51687111425026;8.30463203679632;NA;NA;NA;NA;NA;NA;NA;179;NA;NA;6.48898860160695;NA;NA;29
2011;372;"Ireland";"IRL";4.4;5.35529735660858;7.32555417689651;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;100;95.12;80.9;"323.71";"14814";"308.92";26.5;3;2.2;1.7;1;0.882554650664381;80;NA;16.1200008392334;-0.0405652895569801;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.78467988967896;12.6421098709106;35.7183418273926;34.0152816772461;8.14533747;NA;NA;8248;8;NA;4.34757819175258;0.808136613;NA;13
2015;372;"Ireland";"IRL";4.14;5.63610794498853;6.15274449445465;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;95.8;81.5;"313.33";"14654";"319.15";22.5;2.5;1.6;1.7;1;0.856408058294042;72;NA;NA;26.2760562896729;6.74095504539982;6.42004036928834;5.91814443753163;6.95040881293848;6.44011976047904;5.89458119723899;7.33968746156301;6.35962236473657;5.68536115959505;6.77239776022398;NA;NA;NA;NA;NA;NA;NA;6125;9;NA;5.31736840699848;NA;NA;77
2011;380;"Italy";"ITA";5.08;5.00527255155809;6.47048084813208;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;100;81.7;82.4;"398.74";"242128";"250.79";45.8;2.9;2.7;3.6;1;0.848264037719674;43;NA;11.2799997329712;0.576624631881714;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.13766002655029;8.43229007720947;24.7265090942383;42.4705085754395;9.27499911;NA;NA;58060;58;NA;3.84266188241758;0.516398222;NA;541
2015;380;"Italy";"ITA";4.97;5.18346036274435;5.50492946633877;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;81.2;82.7;"415.71";"252465";"240.55";43.1;1.7;2.3;5;1;0.839048435490784;43;NA;NA;0.731730580329895;4.80580964295239;5.52629901157742;5.08493820856494;4.70674806865888;4.13173652694611;7.08468956836958;6.97311827053703;4.95873612104279;4.76547894813806;6.50494638036196;NA;NA;NA;NA;NA;NA;NA;118047;70;NA;3.90314752693926;NA;NA;506
2011;428;"Latvia";"LVA";4.88;NA;NA;10;3;9;8;9;9;9.5;8;7.5;1;2;2;100;89.22;73.9;"336.41";"6924";"297.25";51.9;4.5;3.7;3.6;2;0.845477925417917;45;NA;11.2600002288818;6.21117973327637;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.94513988494873;12.7460298538208;27.6278400421143;34.6651000976563;6.09974017;NA;NA;95;709;NA;5.31314590318471;0.537673922;NA;16
